"PLASTICS_APPLICATIONS","Plastics applications","TIME","Time","Value","Flag Codes","Flags"
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2000","2000",9.321,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2001","2001",9.542,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2002","2002",10.147,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2003","2003",10.562,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2004","2004",11.228,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2005","2005",11.54,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2006","2006",12.262,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2007","2007",12.941,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2008","2008",12.324,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2009","2009",12.633,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2010","2010",13.699,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2011","2011",14.24,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2012","2012",14.766,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2013","2013",15.383,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2014","2014",15.643,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2015","2015",15.942,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2016","2016",15.903,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2017","2017",16.264,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2018","2018",16.815,,
"ELECTRICAL_ELECTRONIC","Electrical/electronics","2019","2019",17.305,,
"TRANSPORTATION_-_OTHER","Transportation - other","1990","1990",14.752,,
"TRANSPORTATION_-_OTHER","Transportation - other","1991","1991",15.342,,
"TRANSPORTATION_-_OTHER","Transportation - other","1992","1992",16.358,,
"TRANSPORTATION_-_OTHER","Transportation - other","1993","1993",17.082,,
"TRANSPORTATION_-_OTHER","Transportation - other","1994","1994",18.797,,
"TRANSPORTATION_-_OTHER","Transportation - other","1995","1995",19.567,,
"TRANSPORTATION_-_OTHER","Transportation - other","1996","1996",21.033,,
"TRANSPORTATION_-_OTHER","Transportation - other","1997","1997",22.649,,
"TRANSPORTATION_-_OTHER","Transportation - other","1998","1998",23.738,,
"TRANSPORTATION_-_OTHER","Transportation - other","1999","1999",25.588,,
"TRANSPORTATION_-_OTHER","Transportation - other","2000","2000",26.995,,
"TRANSPORTATION_-_OTHER","Transportation - other","2001","2001",27.717,,
"TRANSPORTATION_-_OTHER","Transportation - other","2002","2002",29.559,,
"TRANSPORTATION_-_OTHER","Transportation - other","2003","2003",30.859,,
"TRANSPORTATION_-_OTHER","Transportation - other","2004","2004",32.898,,
"TRANSPORTATION_-_OTHER","Transportation - other","2005","2005",33.907,,
"TRANSPORTATION_-_OTHER","Transportation - other","2006","2006",36.129,,
"TRANSPORTATION_-_OTHER","Transportation - other","2007","2007",38.237,,
"TRANSPORTATION_-_OTHER","Transportation - other","2008","2008",36.516,,
"TRANSPORTATION_-_OTHER","Transportation - other","2009","2009",37.531,,
"TRANSPORTATION_-_OTHER","Transportation - other","2010","2010",40.853,,
"TRANSPORTATION_-_OTHER","Transportation - other","2011","2011",42.623,,
"TRANSPORTATION_-_OTHER","Transportation - other","2012","2012",44.358,,
"TRANSPORTATION_-_OTHER","Transportation - other","2013","2013",46.381,,
"TRANSPORTATION_-_OTHER","Transportation - other","2014","2014",47.333,,
"TRANSPORTATION_-_OTHER","Transportation - other","2015","2015",48.23,,
"TRANSPORTATION_-_OTHER","Transportation - other","2016","2016",48.885,,
"TRANSPORTATION_-_OTHER","Transportation - other","2017","2017",50.434,,
"TRANSPORTATION_-_OTHER","Transportation - other","2018","2018",52.553,,
"TRANSPORTATION_-_OTHER","Transportation - other","2019","2019",54.431,,
"MARINE_COATINGS","Marine coatings","1990","1990",0.163,,
"MARINE_COATINGS","Marine coatings","1991","1991",0.169,,
"MARINE_COATINGS","Marine coatings","1992","1992",0.18,,
"MARINE_COATINGS","Marine coatings","1993","1993",0.187,,
"MARINE_COATINGS","Marine coatings","1994","1994",0.205,,
"MARINE_COATINGS","Marine coatings","1995","1995",0.213,,
"MARINE_COATINGS","Marine coatings","1996","1996",0.228,,
"MARINE_COATINGS","Marine coatings","1997","1997",0.245,,
"MARINE_COATINGS","Marine coatings","1998","1998",0.257,,
"MARINE_COATINGS","Marine coatings","1999","1999",0.276,,
"MARINE_COATINGS","Marine coatings","2000","2000",0.29,,
"MARINE_COATINGS","Marine coatings","2001","2001",0.297,,
"MARINE_COATINGS","Marine coatings","2002","2002",0.316,,
"MARINE_COATINGS","Marine coatings","2003","2003",0.329,,
"MARINE_COATINGS","Marine coatings","2004","2004",0.35,,
"MARINE_COATINGS","Marine coatings","2005","2005",0.36,,
"MARINE_COATINGS","Marine coatings","2006","2006",0.383,,
"MARINE_COATINGS","Marine coatings","2007","2007",0.404,,
"MARINE_COATINGS","Marine coatings","2008","2008",0.385,,
"MARINE_COATINGS","Marine coatings","2009","2009",0.395,,
"MARINE_COATINGS","Marine coatings","2010","2010",0.429,,
"MARINE_COATINGS","Marine coatings","2011","2011",0.446,,
"MARINE_COATINGS","Marine coatings","2012","2012",0.463,,
"MARINE_COATINGS","Marine coatings","2013","2013",0.483,,
"MARINE_COATINGS","Marine coatings","2014","2014",0.492,,
"MARINE_COATINGS","Marine coatings","2015","2015",0.5,,
"MARINE_COATINGS","Marine coatings","2016","2016",0.502,,
"MARINE_COATINGS","Marine coatings","2017","2017",0.509,,
"MARINE_COATINGS","Marine coatings","2018","2018",0.524,,
"MARINE_COATINGS","Marine coatings","2019","2019",0.541,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1990","1990",0.817,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1991","1991",0.846,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1992","1992",0.898,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1993","1993",0.934,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1994","1994",1.024,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1995","1995",1.062,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1996","1996",1.136,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1997","1997",1.219,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1998","1998",1.272,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","1999","1999",1.365,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2000","2000",1.434,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2001","2001",1.466,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2002","2002",1.557,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2003","2003",1.618,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2004","2004",1.717,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2005","2005",1.762,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2006","2006",1.869,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2007","2007",1.969,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2008","2008",1.872,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2009","2009",1.915,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2010","2010",2.067,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2011","2011",2.139,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2012","2012",2.207,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2013","2013",2.288,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2014","2014",2.315,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2015","2015",2.427,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2016","2016",2.419,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2017","2017",2.495,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2018","2018",2.599,,
"INDUSTRIAL_MACHINERY","Industrial/machinery","2019","2019",2.683,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1990","1990",0.007,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1991","1991",0.007,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1992","1992",0.008,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1993","1993",0.008,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1994","1994",0.009,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1995","1995",0.009,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1996","1996",0.01,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1997","1997",0.011,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1998","1998",0.011,,
"PERSONAL_CARE_PRODUCTS","Personal care products","1999","1999",0.012,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2000","2000",0.013,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2001","2001",0.013,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2002","2002",0.014,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2003","2003",0.015,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2004","2004",0.016,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2005","2005",0.017,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2006","2006",0.018,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2007","2007",0.019,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2008","2008",0.018,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2009","2009",0.019,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2010","2010",0.021,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2011","2011",0.022,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2012","2012",0.023,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2013","2013",0.024,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2014","2014",0.024,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2015","2015",0.025,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2016","2016",0.026,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2017","2017",0.026,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2018","2018",0.027,,
"PERSONAL_CARE_PRODUCTS","Personal care products","2019","2019",0.027,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1990","1990",7.199,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1991","1991",7.519,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1992","1992",8.05,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1993","1993",8.441,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1994","1994",9.325,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1995","1995",9.747,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1996","1996",10.519,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1997","1997",11.371,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1998","1998",11.964,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","1999","1999",12.946,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2000","2000",13.71,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2001","2001",14.129,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2002","2002",15.125,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2003","2003",15.848,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2004","2004",16.956,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2005","2005",17.539,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2006","2006",18.755,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2007","2007",19.919,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2008","2008",19.089,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2009","2009",19.688,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2010","2010",21.582,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2011","2011",22.674,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2012","2012",23.758,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2013","2013",25.009,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2014","2014",25.691,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2015","2015",26.332,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2016","2016",26.903,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2017","2017",27.482,,
"TEXTILE_SECTOR_-_CLOTHING","Textile sector - clothing","2018","2018",28.057,,
